slug,url
adaaran-fushi-hudhuran-select-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives-All/Maldives/adaaran-fushi-hudhuran-select-maldives-all-maldives/
adaaran-hudhuranfushi-select-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/adaaran-hudhuranfushi-select-maldives-all-maldives/
adaaran-meedhupparu-select-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/adaaran-meedhupparu-select-maldives-all-maldives/
adaaran-meedhupparu-select-meedhupparu-maldives,https://www.africastay.co.uk/accommodation/in-Meedhupparu/Maldives/adaaran-meedhupparu-select-meedhupparu-maldives/
all-beach-inclusive-neptune-resort-spa-village-mombasa-kenya,https://www.africastay.co.uk/accommodation/in-Mombasa/Kenya/all-beach-inclusive-neptune-resort-spa-village-mombasa-kenya/
all-club-inclusive-noonu-robinson-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives_(All)/Maldives/all-club-inclusive-noonu-robinson-maldives-all-maldives/
all-inclusive-jambo-riu-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Zanzibar/Tanzania/all-inclusive-jambo-riu-zanzibar-tanzania/
all-inclusive-riu-turquoise-le-morne-mauritius,https://www.africastay.co.uk/accommodation/in-Le-Morne/Mauritius/all-inclusive-riu-turquoise-le-morne-mauritius
allamanda-by-doubletree-hilton-resort-seychelles-spa-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/allamanda-by-doubletree-hilton-resort-seychelles-spa-mahe-island-seychelles-seychelles/
anantara-maia-seychelles-villas-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/anantara-maia-seychelles-villas-mahe-island-seychelles-seychelles/
athuruga-beach-diamonds-villas-water-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/athuruga-beach-diamonds-villas-water-maldives-all-maldives/
athuruga-diamonds-maldives-resort-spa-athuruga-maldives,https://www.africastay.co.uk/accommodation/in-Athuruga/Maldives/athuruga-diamonds-maldives-resort-spa-athuruga-maldives/
atoll-riu-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/atoll-riu-maldives-all-maldives/
attitude-matemwe-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Zanzibar/Tanzania/attitude-matemwe-zanzibar-tanzania/
attitude-ravenala-the-balaclava-mauritius,https://www.africastay.co.uk/accommodation/in-Balaclava/Mauritius/attitude-ravenala-the-balaclava-mauritius
azao-resort-spa-pongwe-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Pongwe-Zanzibar/Tanzania/azao-resort-spa-pongwe-zanzibar-tanzania/
balaclava-fort-intercontinental-mauritius-resort-balaclava-mauritius,https://www.africastay.co.uk/accommodation/in-Balaclava/Mauritius/balaclava-fort-intercontinental-mauritius-resort-balaclava-mauritius
bamburi-beach-mombasa-kenya,https://www.africastay.co.uk/accommodation/in-Mombasa/Kenya/bamburi-beach-mombasa-kenya/
baobab-beach-resort-spa-diani-beach-kenya,https://www.africastay.co.uk/accommodation/in-Diani-Beach/Kenya/baobab-beach-resort-spa-diani-beach-kenya/
bathala-maldives-sandies-bathala-island-maldives,https://www.africastay.co.uk/accommodation/in-Bathala-Island/Maldives/bathala-maldives-sandies-bathala-island-maldives/
