card_slug,card_label,appears_on,engine_id,engine_name,engine_area,engine_stars,sample_price,area_agrees,confidence,score,Confirmed (Y/N),Notes
adaaran-fushi-hudhuran-select-maldives-all-maldives,"★★★★ ★ Adaaran Select Hudhuranfushi North Male Atoll, Maldives 7 night",https://www.africastay.co.uk/honeymoon/; https://www.africastay.co.uk/maldives/,adaaran-select-hudhuran-fushi-lhohifushi-usa,Adaaran Select Hudhuranfushi,Lhohifushi,4,1842.0,NO - check,LOW,0.29,Y,
all-inclusive-riu-turquoise-le-morne-mauritius,★★★★ ★ Riu Turquoise Le Morne · South West Coast 7 nights · All Inclus,https://www.africastay.co.uk/mauritius/,sugareef-west-coast-flic-en-flac-new-zealand,SUGAR REEF WEST COAST,Flic En Flac,3,560.0,NO - check,LOW,0.23,N,matched SUGAR REEF WEST COAST
attitude-ravenala-the-balaclava-mauritius,★★★★ ★ Ravenala Attitude Turtle Bay · North West Coast 7 nights · Half,https://www.africastay.co.uk/mauritius/,the-westin-turtle-bay-resort-spa-balaclava-bolivia,"THE WESTIN TURTLE BAY RESORT & SPA, MAURITIUS",Balaclava,4,2069.0,yes,LOW,0.24,N,matched THE WESTIN TURTLE BAY
azao-resort-spa-pongwe-zanzibar-tanzania,★★★★ ★ Azao Resort & Spa Pwani Mchangani 7 nights · All Inclusive Flig,https://www.africastay.co.uk/zanzibar/,azao-resort-spa-zanzibar-tanzania,Azao Resort & Spa,Pongwe,4,679.0,yes,LOW,0.17,Y,
bamburi-beach-mombasa-kenya,★★★★ ★ Bamburi Beach Hotel Bamburi Beach 7 nights · All Inclusive Flig,https://www.africastay.co.uk/kenya/,continental-mombasa-3-stars-mombasa-kenya,Mombasa Continental Hotel,Mombasa,3,824.0,yes,LOW,0.22,N,matched Mombasa Continental Hotel
baobab-beach-resort-spa-diani-beach-kenya,"★★★★ ★ Baobab Beach Resort & Spa Diani Beach, Kenya Three resorts in o",https://www.africastay.co.uk/group/,baobab-beach-resort-4-stars-mombasa-kenya,Baobab Beach Resort,Mombasa,4,2121.0,NO - check,LOW,0.22,Y,
bathala-maldives-sandies-bathala-island-maldives,★★★★ ★ Sandies Bathala North Ari Atoll 7 nights · All Inclusive Flight,https://www.africastay.co.uk/maldives/,bathala-maldives-sandies-maldives-all-locations-maldives,Sandies Bathala Maldives,Bathala Island,4,1749.0,yes,LOW,0.34,Y,
beach-leopard-resort-spa-diani-beach-kenya,★★★★ ★ Leopard Beach Resort Diani Beach 7 nights · Half Board Flight &,https://www.africastay.co.uk/kenya/,leopard-beach-resort-spa-gombato-germany,Leopard Beach Resort & Spa,Gombato,5,1137.0,NO - check,LOW,0.28,Y,
beach-palms-resort-southern-diani-beach-kenya,"★★★★ ★ Southern Palms Beach Resort Diani Beach, Kenya 7 nights · All I",https://www.africastay.co.uk/family/; https://www.africastay.co.uk/kenya/; https://www.africastay.co.uk/solo/,beach-diani-reef-resort-spa-diani-beach-kenya,Diani Reef Beach Resort and Spa,Gombato,5,1144.0,NO - check,LOW,0.23,N,matched Diani Reef Beach Resort
constance-ephelia-mahe-island-seychelles-seychelles,"★★★★★ Constance Ephelia Port Launay, Seychelles Group coordinator · Ha",https://www.africastay.co.uk/group/; https://www.africastay.co.uk/seychelles/,constance-ephelia-mahe-5-stars-seychelles-island-seychelles,"Constance Ephelia, Mahe",Seychelles Island,5,2675.0,yes,LOW,0.31,Y,
falls-lodge-safari-victoria-victoria-falls-zimbabwe,★★★★ ★ Victoria Falls Safari Lodge Victoria Falls · Zimbabwe 3 nights ,https://www.africastay.co.uk/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/victoria-falls/,all-falls-inclusive-lodge-river-victoria-victoria-falls-zimbabwe,Victoria Falls River Lodge - All-Inclusive,Victoria Falls,4,21520.0,yes,LOW,0.29,N,matched VF River Lodge
four-resort-seasons-seychelles-mahe-island-seychelles-seychelles,"★★★★★ Four Seasons Resort Seychelles Petite Anse, Seychelles 7 nights ",https://www.africastay.co.uk/beach/; https://www.africastay.co.uk/family/; https://www.africastay.co.uk/honeymoon/; https://www.africastay.co.uk/seychelles/,kempinski-resort-seychelles-5-stars-seychelles-island-seychelles,Kempinski Seychelles Resort,Seychelles Island,5,2626.0,yes,LOW,0.09,N,matched Kempinski
hilton-northolme-resort-seychelles-spa-seychelles-all-seychelles,"★★★★★ Hilton Seychelles Northolme Glacis, Seychelles 7 nights · Bed & ",https://www.africastay.co.uk/honeymoon/; https://www.africastay.co.uk/seychelles/; https://www.africastay.co.uk/solo/,DoubleTree by Hilton Seychelles - Allamanda Resort,DoubleTree by Hilton Seychelles - Allamanda Resort,Seychelles Island,4,2695.0,NO - check,LOW,0.23,N,matched DoubleTree Allamanda
island-preskil-resort-mahebourg-mauritius,★★★★ ★ Preskil Island Resort Mahebourg · South East Coast 7 nights · H,https://www.africastay.co.uk/mauritius/,island-preskil-resort-mauritius-island-mauritius,Preskil Island Resort,Mahebourg,4,1282.0,yes,LOW,0.24,Y,
kuredu-maldives-resort-spa-kuredu-island-maldives,"★★★★ ★ Kuredu Island Resort & Spa Lhaviyani Atoll, Maldives 7 nights ·",https://www.africastay.co.uk/beach/; https://www.africastay.co.uk/family/; https://www.africastay.co.uk/group/; https://www.africastay.co.uk/honeymoon/; https://www.africastay.co.uk/maldives/; https://www.africastay.co.uk/solo/,kuredu-resort-spa-maldives-all-locations-maldives,Kuredu Resort & Spa,Kuredu Island,4,1089.0,yes,LOW,0.19,Y,
maritim-mauritius-resort-spa-balaclava-mauritius,★★★★★ Maritim Resort Balaclava · North West Coast 7 nights · All Inclu,https://www.africastay.co.uk/mauritius/,maritim-mauritius-resort-spa-mauritius-island-mauritius,Maritim Resort & Spa Mauritius,Balaclava,5,907.0,yes,LOW,0.29,Y,
mora-the-zanzibar-matemwe-zanzibar-tanzania,★★★★★ The Mora Zanzibar Zanzibar · Kiwengwa 7 nights · Half Board Flig,https://www.africastay.co.uk/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/zanzibar/,the-mora-zanzibar-kigomani-belgium,The Mora Zanzibar,Kigomani,5,1926.0,NO - check,LOW,0.35,Y,
paradise-sun-praslin-island-seychelles-seychelles,★★★★ ★ Paradise Sun Hotel Praslin 7 nights · Half Board Flight & hotel,https://www.africastay.co.uk/seychelles/,kempinski-resort-seychelles-5-stars-seychelles-island-seychelles,Kempinski Seychelles Resort,Seychelles Island,5,2626.0,yes,LOW,0.15,N,matched Kempinski
resort-spa-tarisa-mauritius-island-mauritius,★★★ ★★ Tarisa Resort & Spa Mont Choisy · North Coast 7 nights · Half B,https://www.africastay.co.uk/mauritius/,tarisa-resort-spa-trou-aux-biches-indonesia,Tarisa resort & Spa,Trou Aux Biches,3,976.0,NO - check,LOW,0.16,Y,
resort-spa-tarisa-mont-choisy-mauritius,"★★★ ★★ Tarisa Resort & Spa Mont Choisy, Mauritius Boutique · Half Boar",https://www.africastay.co.uk/solo/,tarisa-resort-spa-trou-aux-biches-indonesia,Tarisa resort & Spa,Trou Aux Biches,3,976.0,NO - check,LOW,0.18,Y,
seychelles-story-mahe-island-seychelles-seychelles,"★★★★★ STORY Seychelles Beau Vallon, Mahé 7 nights · Half Board Flight ",https://www.africastay.co.uk/seychelles/,bay-beach-beau-berjaya-casino-resort-vallon-3-stars-seychelles-island-seychelles,Berjaya Beau Vallon Bay Beach Resort and Casino,Seychelles Island,3,1314.0,yes,LOW,0.18,N,matched Berjaya Beau Vallon
